"","Label","Type","Reference Model","02. Fix M","03. Fix M_k_t0_CV","04. Fix M_t0_CV","05. Fix M_CV","08. Fix growth","09. Fix Linf_CV","10. Fix k_CV","11. Fix CV","12. 5GTG","13. No recdevs","14. recdevs_sR45","15. recdevs_sR75","17. Dome-shaped_sel","18. Lorenzen M"
"78",NA,"Main_RecrDev_1978",-0.284908,-0.313895,-0.402731,-0.363683,-0.361323,-0.29553,-0.358686,-0.375671,-0.32012,-0.254844,NA,-0.284908,-0.284908,-0.263153,-0.274882
"79",NA,"Main_RecrDev_1979",-0.354411,-0.381378,-0.481003,-0.446019,-0.44135,-0.362642,-0.439334,-0.454666,-0.400142,-0.327395,NA,-0.354411,-0.354411,-0.335348,-0.345573
"80",NA,"Main_RecrDev_1980",-0.359111,-0.384159,-0.500244,-0.468131,-0.461337,-0.367353,-0.460319,-0.474277,-0.419866,-0.335193,NA,-0.359111,-0.359111,-0.343184,-0.35111
"81",NA,"Main_RecrDev_1981",-0.302918,-0.328192,-0.462774,-0.431196,-0.42566,-0.309251,-0.423979,-0.436767,-0.383436,-0.28392,NA,-0.302918,-0.302918,-0.291617,-0.294984
"82",NA,"Main_RecrDev_1982",-0.231931,-0.256708,-0.403689,-0.371478,-0.369286,-0.221468,-0.367089,-0.37756,-0.326453,-0.222712,NA,-0.231931,-0.231931,-0.228783,-0.223137
"83",NA,"Main_RecrDev_1983",-0.222491,-0.244237,-0.388588,-0.359248,-0.36213,-0.179684,-0.358751,-0.363527,-0.321177,-0.228709,NA,-0.222491,-0.222491,-0.231404,-0.213266
"84",NA,"Main_RecrDev_1984",-0.285679,-0.301331,-0.452398,-0.431653,-0.437094,-0.241329,-0.433253,-0.430579,-0.40226,-0.305584,NA,-0.285679,-0.285679,-0.305443,-0.277732
"85",NA,"Main_RecrDev_1985",-0.331319,-0.340109,-0.5337,-0.521361,-0.525714,-0.341476,-0.52327,-0.516079,-0.498636,-0.361228,NA,-0.331319,-0.331319,-0.358702,-0.324707
"86",NA,"Main_RecrDev_1986",-0.29754,-0.300499,-0.543814,-0.536145,-0.53846,-0.372181,-0.538648,-0.529969,-0.518182,-0.33767,NA,-0.29754,-0.29754,-0.332109,-0.290724
"87",NA,"Main_RecrDev_1987",-0.217279,-0.215628,-0.440363,-0.436838,-0.437724,-0.277939,-0.440337,-0.429188,-0.4222,-0.270686,NA,-0.217279,-0.217279,-0.263735,-0.208258
"88",NA,"Main_RecrDev_1988",-0.151221,-0.145083,-0.254231,-0.256039,-0.261626,-0.0670709,-0.26284,-0.244184,-0.24771,-0.223079,NA,-0.151221,-0.151221,-0.218056,-0.138442
