"","Label","Type","Reference Model","01. L","02. CL","03. CL_Fr","04. CLA_fixed","05. CLA_fixed_recs","06. RefMod_Dir","07. RefMod_McI","08. RefMod_noDWt","09. Catch67original","10. HistCatchMin","11. HistCatchMax","12. Sex=3","13. CARE_AE"
"87",NA,"Main_RecrDev_1987",-0.217279,NA,NA,NA,NA,-0.279719,-0.266882,-0.243231,-0.217279,-0.266279,-0.261605,-0.268937,-0.218294,-0.19963
"88",NA,"Main_RecrDev_1988",-0.151221,NA,NA,NA,NA,-0.0599485,-0.221454,-0.215433,-0.151221,-0.222437,-0.217385,-0.225315,-0.153544,-0.0987995
"89",NA,"Main_RecrDev_1989",-0.126843,NA,NA,NA,NA,0.0669506,-0.214622,-0.210928,-0.126843,-0.215817,-0.210775,-0.218687,-0.129142,-0.094586
"90",NA,"Main_RecrDev_1990",-0.172443,NA,NA,NA,NA,-0.0700764,-0.260507,-0.241473,-0.172443,-0.261786,-0.257131,-0.264432,-0.174899,-0.0685476
"91",NA,"Main_RecrDev_1991",-0.0526304,NA,NA,NA,NA,0.0328933,-0.172282,-0.181095,-0.0526304,-0.172625,-0.168107,-0.175189,-0.051983,-0.0930668
"92",NA,"Main_RecrDev_1992",0.000379796,NA,NA,NA,NA,0.329172,-0.165994,-0.174859,0.000379796,-0.166441,-0.162789,-0.168489,0.00287259,-0.200341
"93",NA,"Main_RecrDev_1993",-0.192544,NA,NA,NA,NA,0.0413888,-0.317327,-0.271941,-0.192544,-0.31837,-0.315694,-0.319861,-0.192683,-0.164156
"94",NA,"Main_RecrDev_1994",-0.00779846,NA,NA,NA,NA,0.0643571,-0.102203,-0.0993942,-0.00779846,-0.103374,-0.100903,-0.104752,-0.00869049,0.149866
"95",NA,"Main_RecrDev_1995",0.218651,NA,NA,NA,NA,0.211822,0.165178,0.106446,0.218651,0.164731,0.167216,0.16334,0.218152,0.385085
"96",NA,"Main_RecrDev_1996",0.315937,NA,NA,NA,NA,0.514161,0.232334,0.157209,0.315937,0.229703,0.231033,0.229003,0.31051,-0.050984
"97",NA,"Main_RecrDev_1997",-0.142281,NA,NA,NA,NA,0.000775968,-0.211829,-0.163402,-0.142281,-0.212332,-0.212056,-0.212426,-0.147124,-0.219015
"98",NA,"Main_RecrDev_1998",-0.0485646,NA,NA,NA,NA,-0.00698321,-0.124165,-0.077634,-0.0485646,-0.123993,-0.124153,-0.123835,-0.0531893,0.0708882
"99",NA,"Main_RecrDev_1999",0.520806,NA,NA,NA,NA,0.423375,0.378865,0.367199,0.520806,0.375744,0.375495,0.375963,0.512739,0.443839
"100",NA,"Main_RecrDev_2000",1.37137,NA,NA,NA,NA,1.49534,1.41255,1.30255,1.37137,1.41809,1.41628,1.41921,1.36292,1.20061
"101",NA,"Main_RecrDev_2001",0.0167271,NA,NA,NA,NA,0.214436,0.111685,0.159672,0.0167271,0.107858,0.105663,0.109206,0.0112859,0.0463314
"102",NA,"Main_RecrDev_2002",-0.497384,NA,NA,NA,NA,-0.295921,-0.420462,-0.338174,-0.497384,-0.421778,-0.424337,-0.420212,-0.507978,-0.404783
"103",NA,"Main_RecrDev_2003",-0.427452,NA,NA,NA,NA,-0.383621,-0.348212,-0.31018,-0.427452,-0.349419,-0.352515,-0.347534,-0.443061,-0.475074
"104",NA,"Main_RecrDev_2004",-0.0519194,NA,NA,NA,NA,-0.166155,-0.01592,-0.0622367,-0.0519194,-0.0165263,-0.0202687,-0.0142581,-0.0634529,-0.163772
"105",NA,"Main_RecrDev_2005",0.139026,NA,NA,NA,NA,0.175104,0.157058,0.151993,0.139026,0.156165,0.153276,0.157928,0.131919,0.0463205
"106",NA,"Main_RecrDev_2006",0.995886,NA,NA,NA,NA,0.703623,1.17515,1.09809,0.995886,1.17714,1.1726,1.17987,0.997992,1.16909
"107",NA,"Main_RecrDev_2007",0.469825,NA,NA,NA,NA,0.98793,0.496427,0.425536,0.469825,0.495757,0.492049,0.49802,0.484266,0.167308
"108",NA,"Main_RecrDev_2008",-0.298079,NA,NA,NA,NA,-0.245526,-0.284815,-0.252085,-0.298079,-0.287818,-0.291586,-0.285515,-0.293121,-0.436257
"109",NA,"Main_RecrDev_2009",-0.273447,NA,NA,NA,NA,-0.540085,-0.241938,-0.23129,-0.273447,-0.244171,-0.24786,-0.241928,-0.268773,-0.256103
"110",NA,"Main_RecrDev_2010",0.17732,NA,NA,NA,NA,-0.250409,0.263622,0.176789,0.17732,0.26421,0.260084,0.266706,0.179079,0.403854
"111",NA,"Main_RecrDev_2011",0.300333,NA,NA,NA,NA,0.140974,0.360564,0.269304,0.300333,0.362906,0.358664,0.365487,0.293156,0.107819
"112",NA,"Main_RecrDev_2012",-0.230696,NA,NA,NA,NA,-0.403103,-0.241042,-0.207915,-0.230696,-0.240122,-0.243418,-0.238101,-0.23085,-0.120559
"113",NA,"Main_RecrDev_2013",-0.329067,NA,NA,NA,NA,-0.702048,-0.349141,-0.298333,-0.329067,-0.349195,-0.352005,-0.347473,-0.315973,-0.258473
"114",NA,"Main_RecrDev_2014",-0.235935,NA,NA,NA,NA,-0.535769,-0.235563,-0.192719,-0.235935,-0.23684,-0.238757,-0.235663,-0.22025,-0.144977
"115",NA,"Main_RecrDev_2015",-0.176612,NA,NA,NA,NA,-0.391591,-0.183748,-0.13374,-0.176612,-0.185376,-0.186611,-0.184598,-0.176179,-0.0759568
"116",NA,"Main_RecrDev_2016",-0.0436627,NA,NA,NA,NA,-0.153417,-0.0447707,-0.0315105,-0.0436627,-0.0470981,-0.0478733,-0.0465914,-0.0476549,-0.0210854
"117",NA,"Main_RecrDev_2017",-0.0077166,NA,NA,NA,NA,-0.0138622,-0.00720572,-0.00509967,-0.0077166,-0.00874115,-0.00944292,-0.00827298,-0.00829978,-0.00481521
"118",NA,"Main_RecrDev_2018",-0.00628199,NA,NA,NA,NA,0.0020561,-0.00580386,-0.00338246,-0.00628199,-0.00633631,-0.00702881,-0.00587305,-0.00638045,-0.00441644
"119",NA,"Main_RecrDev_2019",-0.00624834,NA,NA,NA,NA,0.00250143,-0.00589707,-0.00334227,-0.00624834,-0.00627855,-0.00697077,-0.00581537,-0.00632812,-0.00441422
"120",NA,"Main_RecrDev_2020",-0.00624832,NA,NA,NA,NA,0.00250521,-0.00589738,-0.00334216,-0.00624832,-0.00627853,-0.00697075,-0.00581549,-0.00632808,-0.00441422
"121",NA,"ForeRecr_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"122",NA,"ForeRecr_2022",0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,0
"123",NA,"Impl_err_2021",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"124",NA,"Impl_err_2022",0,0,0,NA,0,0,0,0,0,NA,NA,NA,NA,0
"125",NA,"InitF_seas_1_flt_1Fishery",1e-20,1.7264e-11,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20,1e-20
"126",NA,"Size_DblN_peak_Fishery(1)",44.2517,49.0666,45.6181,45.6182,43.5277,43.3345,45.1457,44.9839,44.2517,45.0982,45.1172,45.0871,44.1487,44.2943
"127",NA,"Size_DblN_top_logit_Fishery(1)",15,15,15,15,15,15,15,15,15,15,15,15,15,15
"128",NA,"Size_DblN_ascend_se_Fishery(1)",4.14135,4.60499,4.27677,4.27678,4.05154,4.17813,4.27483,4.2407,4.14135,4.26067,4.26152,4.26018,4.10004,4.13952
"129",NA,"Size_DblN_descend_se_Fishery(1)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"130",NA,"Size_DblN_start_logit_Fishery(1)",-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15,-15
"131",NA,"Size_DblN_end_logit_Fishery(1)",15,15,15,15,15,15,15,15,15,15,15,15,15,15
"132",NA,"ln(DM_theta)_1",NA,NA,NA,NA,NA,NA,3.91105,NA,NA,NA,NA,NA,NA,NA
"133",NA,"ln(DM_theta)_2",NA,NA,NA,NA,NA,NA,8.05611,NA,NA,NA,NA,NA,NA,NA
"8","Derived quantities",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",NA,"SB0",2.75756,8361.72,2.56577,2.56577,9.66496,109079000,2.75551,2.72071,2.75756,2.74971,2.71989,2.76831,2.78827,24.2652
"135",NA,"SSB_2021",1.54792,3040.99,1.45896,1.45896,8.53727,123622000,1.39937,1.31312,1.54792,1.41404,1.42599,1.4079,1.53482,25.1221
"136",NA,"Bratio_2021",0.561336,0.36368,0.568624,0.568623,0.883321,1.13332,0.507844,0.48264,0.561336,0.514249,0.524282,0.508577,0.550457,1.03531
"137",NA,"MSY_SPR",0.768618,608.859,0.970855,0.970855,3.5878,40048700,0.686967,0.683749,0.768618,0.69181,0.697231,0.688927,0.756429,8.43046
"138",NA,"F_SPR",0.0521243,0.0873997,0.0710359,0.071036,0.065495,0.0633593,0.0495849,0.0499705,0.0521243,0.0499698,0.0507866,0.0495005,0.0516869,0.0660597
